time: 2026-05-09 13:49:51,988 | name: CHUNKER | level: DEBUG | message: Chunk prompt built with 2 modifiers for type=blog
time: 2026-05-09 13:49:51,988 | name: CHUNKER | level: DEBUG | message: Calling LLM chunker for content sample
time: 2026-05-09 13:49:57,893 | name: CHUNKER | level: DEBUG | message: LLM returned 3 chunks
time: 2026-05-09 13:49:57,894 | name: CHUNKER | level: DEBUG | message: LLM returned 3 chunks for https://quotes.toscrape.com/author/Thomas-A-Edison
time: 2026-05-09 13:49:57,894 | name: CHUNKER | level: INFO | message: Validation complete: 3 valid, 0 removed
time: 2026-05-09 13:49:57,894 | name: CHUNKER | level: INFO | message: Processing complete: 3 chunks for https://quotes.toscrape.com/author/Thomas-A-Edison
time: 2026-05-09 13:49:58,217 | name: INGEST_PIPELINE | level: INFO | message: Chunks saved to DB for page: https://quotes.toscrape.com/author/Thomas-A-Edison, chunks_count=3
time: 2026-05-09 13:49:58,275 | name: CHUNKER | level: INFO | message: Processing record: https://quotes.toscrape.com/author/Andre-Gide
time: 2026-05-09 13:49:58,276 | name: CHUNK_PLANNER | level: DEBUG | message: Could not classify page, using default: https://quotes.toscrape.com/author/Andre-Gide
time: 2026-05-09 13:49:58,276 | name: CHUNK_PLANNER | level: INFO | message: Heuristic inconclusive, using LLM planner: https://quotes.toscrape.com/author/Andre-Gide
time: 2026-05-09 13:49:58,276 | name: CHUNK_PLANNER | level: INFO | message: Using LLM planner for: https://quotes.toscrape.com/author/Andre-Gide
time: 2026-05-09 13:49:59,570 | name: CHUNK_PLANNER | level: DEBUG | message: LLM plan: type=blog style=semantic_flow words=300
time: 2026-05-09 13:49:59,570 | name: CHUNKER | level: DEBUG | message: Chunk prompt built with 2 modifiers for type=blog
time: 2026-05-09 13:49:59,571 | name: CHUNKER | level: DEBUG | message: Calling LLM chunker for content sample
time: 2026-05-09 13:50:09,361 | name: CHUNKER | level: DEBUG | message: LLM returned 6 chunks
time: 2026-05-09 13:50:09,362 | name: CHUNKER | level: DEBUG | message: LLM returned 6 chunks for https://quotes.toscrape.com/author/Andre-Gide
time: 2026-05-09 13:50:09,362 | name: CHUNKER | level: INFO | message: Validation complete: 6 valid, 0 removed
